angle  white   blue pcamber amber photored farred
0      1.00    0.985   1.00  1.00     1.00   0.985
5      0.995   0.985   1.00  1.00     0.995  0.985
10     0.985   0.99    0.985 0.995    0.99   0.99
15     0.965   0.995   0.96  0.985    0.975  0.99
20     0.935   0.995   0.93  0.97     0.96   0.995
25     0.90    1.00    0.89  0.95     0.935  1.00
30     0.86    1.00    0.835 0.925    0.905  1.00
35     0.805   0.985   0.775 0.895    0.87   1.00
40     0.745   0.965   0.71  0.855    0.825  0.995
45     0.67    0.93    0.635 0.81     0.775  0.965
50     0.59    0.88    0.56  0.755    0.715  0.925
55     0.51    0.81    0.48  0.69     0.65   0.865
60     0.43    0.72    0.395 0.615    0.57   0.785
65     0.35    0.60    0.315 0.53     0.49   0.695
70     0.275   0.45    0.24  0.435    0.395  0.585
75     0.195   0.28    0.17  0.33     0.30   0.46
80     0.125   0.13    0.115 0.22     0.205  0.315
85     0.06    0.04    0.065 0.11     0.10   0.155
90     0.015   0.015   0.04  0.04     0.04   0.055
