nm	pc amber
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
432.5	0%
435	1%
437.5	1%
440	2%
442.5	2%
445	3%
447.5	2%
450	2%
452.5	1%
455	1%
457.5	1%
460	1%
462.5	0%
465	0%
470	0%
475	0%
480	0%
485	0%
490	0%
495	0%
500	0%
505	0%
510	0%
512.5	0%
515	1%
517.5	1%
520	2%
522.5	3%
525	4%
527.5	5%
530	6%
532.5	7%
535	9%
537.5	12%
540	14%
542.5	17%
545	21%
547.5	24%
550	29%
552.5	34%
555	38%
557.5	44%
560	49%
562.5	55%
565	61%
567.5	67%
570	72%
572.5	77%
575	82%
577.5	86%
580	90%
582.5	93%
585	95%
587.5	97%
590	99%
592.5	100%
595	100%
597.5	100%
600	99%
602.5	98%
605	96%
607.5	95%
610	92%
612.5	90%
615	87%
617.5	84%
620	81%
622.5	78%
625	74%
627.5	71%
630	67%
632.5	64%
635	60%
637.5	57%
640	54%
642.5	50%
645	47%
647.5	44%
650	41%
652.5	38%
655	36%
657.5	33%
660	31%
662.5	29%
665	27%
667.5	25%
670	23%
672.5	21%
675	19%
677.5	18%
680	16%
682.5	15%
685	14%
687.5	13%
690	12%
692.5	11%
695	10%
697.5	9%
700	8%
702.5	7%
705	7%
707.5	6%
710	6%
712.5	5%
715	5%
717.5	4%
720	4%
722.5	3%
725	3%
727.5	3%
730	3%
732.5	2%
735	2%
737.5	2%
740	2%
742.5	1%
745	1%
747.5	1%
750	1%
752.5	1%
755	1%
757.5	1%
760	1%
762.5	0%
765	0%
770	0%
775	0%
780	0%
