nm	blue
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
427.5	0%
430	1%
432.5	1%
435	2%
437.5	3%
440	6%
442.5	9%
445	12%
447.5	17%
450	24%
452.7	36%
455	49%
457.5	67%
460	83%
462.5	97%
465	100%
467.5	93%
470	79%
472.5	64%
475	51%
477.5	43%
480	36%
482.5	30%
485	24%
487.5	19%
490	14%
492.5	11%
495	9%
497.5	7%
500	6%
502.5	5%
505	4%
507.5	3%
510	2%
512.5	2%
515	1%
517.5	1%
520	1%
522.5	1%
525	1%
527.5	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	0%
605	0%
610	0%
615	0%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	0%
655	0%
660	0%
665	0%
670	0%
675	0%
680	0%
685	0%
690	0%
695	0%
700	0%
705	0%
710	0%
715	0%
720	0%
725	0%
730	0%
735	0%
740	0%
745	0%
750	0%
755	0%
760	0%
765	0%
770	0%
775	0%
780	0%
