nm	cool white
380	0%
385	0%
390	0%
395	1%
400	1%
405	1%
410	2%
412.5	3%
415	5%
417.5	8%
420	11%
422.5	16%
425	23%
427.5	31%
430	40%
432.5	49%
435	61%
437.5	75%
440	90%
442.5	99%
445	100%
447.5	88%
450	66%
452.5	51%
455	38%
457.5	28%
460	23%
462.5	19%
465	16%
467.5	13%
470	11%
472.5	10%
475	9%
477.5	9%
480	8%
485	9%
490	10%
495	13%
500	18%
505	24%
510	30%
515	35%
520	39%
525	43%
530	45%
535	47%
540	48%
545	49%
550	49%
555	49%
560	48%
565	48%
570	47%
575	46%
580	44%
585	43%
590	41%
595	39%
600	37%
605	35%
610	33%
615	31%
620	28%
625	26%
630	24%
635	22%
640	20%
645	18%
650	16%
655	15%
660	13%
665	12%
670	10%
675	9%
680	8%
685	8%
690	7%
695	6%
700	5%
705	5%
710	4%
715	4%
720	3%
725	3%
730	2%
735	2%
740	2%
745	2%
750	1%
755	1%
760	1%
765	1%
770	1%
775	1%
780	0%
