nm	green
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	0%
460	0%
465	0%
467.5	0%
470	1%
472.5	1%
475	2%
477.5	2%
480	3%
482.5	4%
485	6%
487.5	8%
490	10%
492.5	13%
495	16%
497.5	21%
500	27%
502.5	36%
505	44%
507.5	55%
510	66%
512.5	77%
515	87%
517.5	94%
520	99%
522.5	100%
525	99%
527.5	95%
530	89%
532.5	83%
535	76%
537.5	69%
540	63%
542.5	56%
545	50%
547.5	44%
550	38%
552.5	34%
555	29%
557.5	25%
560	22%
562.5	19%
565	16%
567.5	14%
570	12%
572.5	10%
575	9%
577.5	7%
580	6%
582.5	5%
585	5%
587.5	4%
590	3%
592.5	2%
595	2%
597.5	2%
600	1%
602.5	1%
605	1%
607.5	1%
610	1%
612.5	1%
615	1%
617.5	0%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	0%
655	0%
660	0%
665	0%
670	0%
675	0%
680	0%
685	0%
690	0%
695	0%
700	0%
705	0%
710	0%
715	0%
720	0%
725	0%
730	0%
735	0%
740	0%
745	0%
750	0%
755	0%
760	0%
765	0%
770	0%
775	0%
780	0%
