nm	photo red
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	0%
460	0%
465	0%
470	0%
475	0%
480	0%
485	0%
490	0%
495	0%
500	0%
505	0%
510	0%
515	0%
520	0%
525	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	0%
602.5	0%
605	1%
607.5	1%
610	1%
612.5	2%
615	3%
617.5	4%
620	5%
622.5	6%
625	8%
627.5	10%
630	13%
632.5	17%
635	21%
637.5	28%
640	35%
642.5	46%
645	58%
647.5	74%
650	90%
652.5	100%
655	96%
657.5	74%
660	49%
662.5	31%
665	19%
667.5	12%
670	8%
672.5	5%
675	3%
677.5	2%
680	1%
682.5	1%
685	1%
687.5	0%
690	0%
695	0%
700	0%
705	0%
710	0%
715	0%
720	0%
725	0%
730	0%
735	0%
740	0%
745	0%
750	0%
755	0%
760	0%
765	0%
770	0%
775	0%
780	0%
