nm	roscolux 74
360	1%
365	1%
370	1%
375	1%
380	1%
385	1%
390	2%
395	3%
400	5%
405	7%
410	9%
415	11%
420	14%
425	20%
430	26%
435	33%
440	39%
445	43%
450	47%
455	50%
460	51%
465	50%
470	47%
475	43%
480	38%
485	33%
490	28%
495	23%
500	17%
505	14%
510	11%
515	8%
520	5%
525	3%
530	2%
535	1%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	0%
605	0%
610	0%
615	0%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	0%
655	0%
660	0%
665	0%
670	1%
675	1%
680	2%
685	3%
690	4%
695	4%
700	5%
705	5%
710	5%
715	5%
720	5%
725	8%
730	10%
735	13%
740	17%
